ID;value
379;WCS16
380;WEAREBERNIE
381;WEMADEHISTORY
382;WESTERNTUESDAY
383;WESTVIRGINIA
384;WETRUMPHATE
385;WEWANTTRUMP
386;WH
387;WHCD
388;WHD
389;WHERESHILLARY
390;WIBACKHER
391;WIMBLEDON
392;WIPRIMARY
393;WISCONSIN
394;WITH_CRUZ_YOU_LOSE
395;WOMANCARD
396;WOMEN4TRUMP
397;WOMEN4TTUMP
398;WOMENSEQUALITYDAY
399;WORK
400;WORLDREFUGEEDAY
401;YOUTHDAY
402;YUGE
